,group_practice_pac_id,n_referral,n_potential_referral,networkmarketshare,networkmarketshare_percentile,leaktileold,n_radiologists,groupsize,lpr,normalized_rvu,to_latitude,to_longitude,ind_academic,average_day_wait,pct_urban,population,sdi_score,highneeds_score,rads_bene,ttl_bene,group_weight,region,state,legalname,radiology_only
1,8426955733,633,197695,0.003201902,0.000841043,0.999158957,23,B,0.04320028,391.7630435,39.036361,-84.56801,0,36.73108696,1,39959,18,49,116,116,0.996798098,Midwest,OH,CHILDREN'S HOSPITAL MEDICAL CENTER,0
2,4880657543,177,55184,0.003207451,0.001682086,0.998317914,2,A,0.195708182,505.58,0,0,0,36.78892308,1,25756,33,99,598,1518,0.392675852,Northeast,NY,EASTSIDE MEDICAL RADIOLOGY PLLC,1
3,4284731357,238,62388,0.003814836,0.002523129,0.997476871,2,A,0.019713289,6382.76,41.8208,-71.41306,0,41.22733333,1,10440,86,99,88,2215,0.03957756,Northeast,RI,"PRATT RADIATION ONCOLOGY ASSOCIATES OF RHODE ISLAND, INC",1
4,42389538,82,18470,0.004439632,0.003364172,0.996635828,2,A,0.061146398,1178.33,28.945246,-81.987609,0,41.3236,0.982,54241,5,100,86,697,0.122838152,South,FL,CLINICAL PET OF OCALA LLC,0
5,840487609,193,43103,0.004477647,0.004205214,0.995794786,3,A,0.006882394,732.8333333,25.814225,-80.13085,0,37.67391667,1,23381,51,96,14,672,0.020740049,South,FL,PALM ACCESS LLC,0
6,2466419973,1711,334740,0.00511143,0.005046257,0.994953743,9,A,0.091648451,626.7355556,40.633652,-74.5008,0,71.61144,0.939,15867,2,9,1805,2166,0.829073809,Midwest,OH,OPEN MRI LLC,0
7,7618964206,2606,495345,0.00526098,0.0058873,0.9941127,13,B,0.07224506,1536.069231,40.727093,-73.97864,0,51.0986,1,60865,84,92,10452,11012,0.944152946,Northeast,NY,"STAND-UP MRI OF MANHATTAN,P.C.",0
8,4385722081,213,39815,0.005349743,0.006728343,0.993271657,20,B,0.004467938,170.12,29.704584,-95.40466,0,49.91307143,1,10279,30,87,14,155,0.089839378,South,TX,TEXAS CHILDRENS PHYSICIAN GROUP,0
9,3678758141,1512,264239,0.005722092,0.007569386,0.992430614,4,A,0.172761092,343.2675,40.724096,-73.90271,0,72.3754898,1,31756,72,70,857,1226,0.695021343,Northeast,NY,"DYNAMIC MEDICAL IMAGING, PC",1
10,3678550951,508,82477,0.006159293,0.008410429,0.991589571,12,B,0.000929006,74.91833333,39.093408,-77.1718,0,79.72115625,1,47184,26,73,15,1329,0.011217164,South,MD,SHADY GROVE RADIOLOGICAL CONSULTANTS PA,1
11,2466463617,1212,176132,0.006881203,0.009251472,0.990748528,3,A,0.054181171,4114.206667,35.623805,-97.47909,0,46.13816667,0.94,48423,11,73,693,4205,0.163669757,South,OK,MUSCULOSKELETAL IMAGING AND INTERVENTIONAL LLC,1
12,6608775630,2357,342286,0.006886054,0.010092515,0.989907485,6,A,0.100511625,415.1016667,30.531677,-84.16049,0,61.82559794,0.998,22799,54,97,1259,2059,0.607251315,South,FL,STAND UP MRI OF TALLAHASSEE PA,0
13,8426153461,2210,314013,0.007037925,0.010933558,0.989066442,2,A,0.089019338,3860.515,27.321313,-82.47648,0,63.02813208,1,33261,37,84,948,5250,0.17930058,South,FL,VASCULAR SPECIALIST OF VENICE AND SARASOTA PL,0
14,3870650054,2709,384700,0.007041851,0.011774601,0.988225399,2,A,0.058135887,2028.955,28.032827,-82.72596,0,56.19817073,1,19523,16,98,248,2103,0.117096349,South,FL,GERALD A NIEDZWIECKI MD PA,1
15,6406749613,3514,491164,0.007154433,0.012615643,0.987384357,78,C,0.010042578,56.43641026,40.639534,-73.69253,0,71.04292195,1,6590,4,75,1753,2206,0.788965675,West,CA,DESERT ADVANCED IMAGING MEDICAL CENTER,1
16,648168310,463,64653,0.007161307,0.013456686,0.986543314,11,B,0.002400313,38.78,41.581494,-73.41313,0,71.53883871,0.794,26662,19,6,18,672,0.026593894,Northeast,CT,"NORTHEAST RADIOLOGY OF CONNECTICUT, LLC",1
17,4284628223,3970,554075,0.007165095,0.014297729,0.985702271,4,A,0.002394112,951.0675,40.855402,-73.11839,0,69.49584653,1,12400,17,36,44,4529,0.009645559,Northeast,NY,"SUFFOLK BREAST IMAGING, P.C.",1
18,4183529340,467,63534,0.007350395,0.015138772,0.984861228,2,A,0.017380408,77842.195,41.089405,-81.53973,0,22.54375,1,5998,89,8,75,2126,0.035018213,Midwest,OH,PARTNERS PHYSICIAN GROUP,1
19,547152472,3915,502053,0.007797981,0.015979815,0.984020185,27,B,0.004584283,81.41925926,39.745377,-75.58251,0,73.66487629,1,41112,87,59,345,2744,0.124748432,South,DE,"IMAGING GROUP OF DELAWARE, PA",1
20,3476732090,904,113043,0.007996957,0.016820858,0.983179142,6,A,0.08254358,89.88166667,40.175357,-74.04694,0,62.20538333,0.99,21158,27,14,307,610,0.499253991,Northeast,NJ,OPEN MRI AT WALL LLC,0
21,5193638765,174633,21382827,0.008166974,0.017661901,0.982338099,22,B,0.004468648,1520.680455,39.338156,-76.76438,0,61.95955674,0.977,36565,60,45,156,1561,0.099119764,West,WA,SYMPHONY DIAGNOSTIC SERVICES NO 1 LLC,0
22,749344521,7997,975627,0.00819678,0.018502944,0.981497056,31,B,0.017967742,64.85419355,39.574606,-76.39022,0,68.48051136,0.839,18601,4,19,1342,2370,0.561603342,West,AK,"NIGHTRAYS, PA",0
23,8123209046,1838,220968,0.008317946,0.019343987,0.980656013,18,B,0.014057451,155.5622222,38.025346,-78.32925,0,76.43895833,0,4285,11,97,908,3529,0.255156505,West,CA,SIMONMED IMAGING A PROFESSIONAL CORPORATION,1
24,1951574565,1920,227287,0.008447469,0.020185029,0.979814971,4,A,0.154814234,305.4325,26.993876,-82.09821,0,63.88442056,1,30025,61,94,730,1159,0.624532655,South,FL,PARTNERS IMAGING CENTER OF CHARLOTTE LLC,1
25,5597741868,6648,782437,0.008496531,0.021026072,0.978973928,5,A,0.173409053,1745.082,40.09261,-75.04118,0,64.79747774,1,32661,55,96,4999,5668,0.874475272,Northeast,PA,"ALPHA MEDICAL GROUP,LTD.",1
26,5193615474,15384,1789888,0.008594951,0.021867115,0.978132885,12,B,0.000361545,2837.755,40.920273,-73.8612,0,76.45253125,1,31321,56,84,148,33529,0.00437615,Northeast,NY,COMPREHENSIVE MRI OF NEW YORK PC,0
27,6709834260,2394,270620,0.008846353,0.022708158,0.977291842,2,A,0.098897874,710.01,42.205289,-83.19812,0,61.63834711,1,29518,51,81,360,1788,0.199561137,Midwest,MI,SOUTHGATE CT  PLC,0
28,9537294533,3673,394597,0.009308231,0.023549201,0.976450799,4,A,0.107813012,167.8875,38.830345,-77.21387,0,56.27331724,1,60058,43,51,232,528,0.435303959,South,VA,"WOODBURN NUCLEAR MEDICINE, LTD",1
29,5092602110,9254,978137,0.009460842,0.024390244,0.975609756,4,A,0.090929396,8903.34,40.770898,-73.00213,0,69.36417202,1,45420,59,60,1422,3836,0.367191523,Northeast,NY,"SOUTH SHORE NEUROLOGIC ASSOCIATES, PC",0
30,4688571326,7855,824986,0.009521374,0.025231287,0.974768713,4,A,0.131318264,4867.8625,43.046493,-102.57323,0,62.91207609,0.516,5825,97,75,2993,5590,0.530322456,Midwest,SD,PINE RIDGE INDIAN HEALTH SERVICE HOSPITAL,0
31,9931378171,14648,1533296,0.009553276,0.02607233,0.97392767,46,B,0.012568017,356.0028261,40.670937,-73.93459,0,48.08561987,1,64603,96,81,3404,5776,0.583705098,Northeast,NY,"INTERFAITH PROFESSIONAL PHYSICIAN SERVICES, P.C.",0
32,7214924778,2446,255317,0.009580247,0.026913373,0.973086627,15,B,0.010371854,401.458,37.985297,-75.84597,0,66.44992079,0.688,5272,87,97,59,372,0.157082703,South,MD,"MCCREADY FOUNDATION, INC",0
33,7719989342,59650,6198086,0.009623939,0.027754415,0.972245585,41,B,0.006027437,502.9353659,34.122058,-118.3379,0,50.55310596,1,21233,40,25,9814,38952,0.249526357,West,CA,VIRTUAL RADIOLOGIC PROFESSIONALS OF CALIFORNIA PA,1
34,9335226430,2481,256013,0.009690914,0.028595458,0.971404542,2,A,0.239255847,813.19,39.348616,-74.57387,0,64.30501653,0.981,7036,12,65,909,1863,0.483194288,Northeast,NJ,"STAT MRI, LLC",0
35,2769373240,7992,817218,0.00977952,0.029436501,0.970563499,5,A,0.069597528,698.032,40.690049,-73.37442,0,45.03265714,1,45682,27,14,1624,4576,0.351424401,Northeast,NY,"MID-ISLAND MEDICAL IMAGING, P.C.",1
36,9830082882,4526,454833,0.009950905,0.030277544,0.969722456,4,A,0.010876784,257286.0675,30.160965,-81.72916,0,60.09823721,0.998,39016,41,47,9417,212161,0.043944421,South,FL,21ST CENTURY ONCOLOGY LLC,0
37,9335461102,814,79083,0.010292983,0.031118587,0.968881413,4,A,0.003446587,667.575,40.776777,-73.9541,0,60.93681818,1,46883,28,99,40,2842,0.013929726,Northeast,NY,ROSENBAUM AND ROSENFELD RADIOLOGY LLP,1
38,9335249606,2210,207474,0.010651937,0.03195963,0.96804037,2,A,0.133289882,440.625,37.707763,-89.19246,0,73.28611828,0.926,27035,81,89,329,1208,0.269449928,Midwest,MO,RADIOLOGIC INTERPRETATIONS OF SOUTHERN ILLINOIS LTD,1
39,2264341031,5766,536708,0.010743272,0.032800673,0.967199327,2,A,0.142781849,1656.195,46.906983,-98.72826,0,66.11035498,0.852,17350,45,46,274,939,0.288664903,Midwest,ND,LUTHERAN CHARITY ASSOCIATION,0
40,9234140690,2956,272602,0.010843648,0.033641716,0.966358284,4,A,0.172163324,520.035,41.949099,-71.41181,0,67.41390643,0.929,34003,25,44,1193,1695,0.696202672,Northeast,RI,"ADVANCED RADIOLOGY, INC.",1
