group_practice_pac_id,year,index,n_referral,n_potential_referral,networkmarketshare,n_radiologists,normalized_rvu,to_latitude,to_longitude,ind_academic,average_day_wait,pct_urban,population,sdi_score,highneeds_score,rads_bene,ttl_bene,group_weight,region,state,legalname,radiology_only,PracticeSize2014,PracticeSize2015,PracticeSize2016,PracticeSize2017,allyears
5294786869,2014,5.29E+13,8194,703929,1.16403785,2,1332.505,27.275225,-82.54934,0,45.59503261,1,8025,3,100,903,4965,0.181873112,Midwest,MO,WALNUT VALLEY IMAGING PA,1,2,#N/A,1,#N/A,0
9133376080,2014,9.13E+13,3571,294460,1.212728384,2,1184.855,30.073775,-95.61882,0,56.17952459,0.935,45003,46,31,810,4620,0.175324675,South,TX,TOMBALL MRI INC,0,2,#N/A,17,#N/A,0
5890683205,2014,5.89E+13,2935,90906,3.228609773,2,15469.465,34.045006,-118.44527,0,47.82598795,1,46107,61,82,2242,5237,0.428107695,West,CA,"THE ANGELES CLINIC AND RESEARCH INSTITUTE, INC.",0,2,#N/A,#N/A,#N/A,0
345400123,2014,3.45E+12,7095,530742,1.336807714,2,385.26,35.046173,-85.2988,0,68.91812448,1,6890,83,99,247,879,0.281001138,South,TN,TENNESSEE INTERVENTIONAL ASSOCIATES PC,0,2,#N/A,#N/A,#N/A,0
6507059458,2014,6.51E+13,18644,168352,11.07441551,2,4755.175,44.854428,-116.04991,0,55.04999257,0,5773,24,32,1201,4908,0.244702526,West,ID,"ST LUKES MCCALL, LTD",0,2,#N/A,7,#N/A,0
5991604753,2014,5.99E+13,27739,176151,15.747285,2,7003.175,45.751671,-87.08951,0,55.41694344,0.796,17508,65,81,2827,11755,0.240493407,Midwest,MI,ST FRANCIS HOSPITAL,0,2,#N/A,#N/A,#N/A,0
1951219310,2014,1.95E+13,1509,36103,4.179708058,2,2085.43,43.113799,-124.39911,0,17.46383582,0.449,7365,45,98,981,1106,0.886980108,West,OR,SOUTHERN COOS HEALTH DISTRICT,0,2,#N/A,#N/A,#N/A,0
4486668035,2014,4.49E+13,18001,503737,3.573491723,2,2811.39,44.801249,-106.96782,0,57.48488055,0.765,24933,23,58,1790,9039,0.198030756,West,WY,SHERIDAN RADIOLOGY LLC,1,2,#N/A,#N/A,#N/A,0
7719963305,2014,7.72E+13,16788,500842,3.351955307,2,1553.825,38.881558,-78.51586,0,60.56254031,0.575,8969,69,91,859,6539,0.131365652,South,VA,SHENANDOAH MEDICAL IMAGING INC,1,2,#N/A,#N/A,#N/A,0
2860396769,2014,2.86E+13,30000,622006,4.8231046,2,111563.935,41.944454,-87.79654,0,50.54891443,1,74093,58,53,1057,6940,0.152305476,Midwest,IL,PRESENCE HEALTHCARE SERVICES,0,2,#N/A,#N/A,#N/A,0
9032101399,2014,9.03E+13,32202,1050635,3.065003545,2,29314.935,39.687459,-84.15595,0,62.92652196,1,25465,28,64,1118,6709,0.166641824,Midwest,OH,PREMIER INTEGRATED MEDICAL ASSOCIATES LTD,0,2,#N/A,#N/A,#N/A,0
3274557137,2014,3.27E+13,5109,408787,1.249795126,2,16149.87,41.605633,-87.75356,0,48.204,1,28237,31,18,173,948,0.182489451,Midwest,IL,PHYSICIANS COMMUNITY MEDICAL CENTER,0,2,#N/A,#N/A,#N/A,0
4880789148,2014,4.88E+13,3091,43059,7.178522492,2,627.88,46.155007,-123.7417,0,41.82519403,0.588,17587,44,34,326,2419,0.134766432,West,OR,PACIFIC COAST IMAGING LLC,1,2,#N/A,2,2,0
2668436205,2014,2.67E+13,9356,80152,11.67282164,2,1422.9,37.823295,-94.73389,0,44.90503817,0.641,12298,52,73,933,5035,0.18530288,Midwest,KS,"OVERLAND PARK RADIOLOGISTS, PA",1,2,#N/A,#N/A,#N/A,0
2769474550,2014,2.77E+13,12918,239824,5.386450063,2,4417.875,42.076574,-78.42744,0,67.13408134,0.867,18253,69,23,1235,4659,0.265078343,Northeast,NY,OLEAN OPEN MRI PC,0,2,#N/A,#N/A,#N/A,0
6406889435,2014,6.41E+13,25267,1322865,1.910021053,2,1734.49,32.730265,-97.32002,0,70.66238618,1,17415,99,69,2016,4284,0.470588235,South,TX,NORTH TEXAS RADIOLOGY PLLC,1,2,#N/A,1,1,0
7618932294,2014,7.62E+13,20551,739534,2.778912126,2,14726.11,33.732774,-90.53427,0,57.16706127,0.92,3120,98,91,2376,9869,0.240753876,South,MS,NORTH SUNFLOWER MEDICAL CENTER,0,2,#N/A,2,2,0
9638190721,2014,9.64E+13,13210,1297220,1.018331509,2,1425.765,45.360111,-84.93774,0,66.471935,0.479,17199,31,49,795,2394,0.332080201,Midwest,MI,MVP IMAGING PLC,1,2,#N/A,#N/A,#N/A,0
7719899897,2014,7.72E+13,32140,968202,3.319555217,2,224966.01,47.363382,-122.11451,0,60.40157296,0.979,44894,15,11,1587,19642,0.080796253,West,WA,MULTICARE HEALTH SYSTEM,0,2,#N/A,#N/A,#N/A,0
5698785640,2014,5.70E+13,15480,148799,10.40329572,2,2323.345,44.425356,-100.29145,0,53.78424627,0.78,16745,33,54,1489,8249,0.180506728,Midwest,SD,MISSOURI VALLEY RADIOLOGY LLC,1,2,#N/A,#N/A,#N/A,0
4981869427,2014,4.98E+13,8866,172184,5.149142777,2,1800.705,33.801783,-118.168691,0,60.5235814,1,11440,77,34,1779,3783,0.470261697,West,CA,"LPMI LONG BEACH, PC",0,2,#N/A,#N/A,#N/A,0
9133175110,2014,9.13E+13,9553,118209,8.081448959,2,1291.325,44.566114,-109.20826,0,58.15015033,0.622,15455,12,59,1398,3285,0.425570776,West,WY,YELLOWSTONE RADIOLOGY PC,1,2,2,#N/A,#N/A,0
3375563323,2014,3.38E+13,25883,181814,14.23597743,2,3283.575,43.313002,-88.71989,0,52.96368306,0,408,19,3,2096,12411,0.168882443,Northeast,VT,WINDHAM RADIOLOGY ASSOCIATES INC,1,2,2,#N/A,#N/A,0
244137396,2014,2.44E+12,30224,530997,5.691934229,2,2592.68,40.680064,-111.8222,0,56.40703704,1,21672,8,83,2336,6484,0.360271437,West,UT,WESTERN NEUROLOGICAL ASSOCIATES INC,0,2,2,1,1,1
6002074069,2014,6.00E+13,13900,220606,6.300825907,2,2366.825,35.508248,-98.96917,0,57.42864773,0.818,10515,63,55,2227,7546,0.295123244,South,OK,"WEATHERFORD REGIONAL HOSPITAL, INC OF WEATHERFORD",0,2,2,2,#N/A,0
8426037169,2014,8.43E+13,2015,219349,0.918627393,2,2183.16,39.093408,-77.1718,0,61.69948438,1,47184,26,73,2690,2947,0.912792671,South,MD,WASHINGTON OPEN MRI INC,0,2,2,#N/A,#N/A,0
3870531668,2014,3.87E+13,14136,226735,6.234591042,2,1741.775,40.203458,-77.19987,0,74.23737604,0.897,35116,53,85,829,6769,0.122470084,Northeast,PA,"WALNUT BOTTOM RADIOLGY, LLC",1,2,2,#N/A,#N/A,0
7416861109,2014,7.42E+13,28549,312233,9.1434922,2,44491.14,36.351009,-119.33655,0,68.2514532,0.944,55990,87,21,1292,9103,0.141931231,West,CA,VISALIA MEDICAL CLINIC INC,0,2,2,#N/A,#N/A,0
6507962073,2014,6.51E+13,3035,207806,1.46049681,2,62659.29,30.785114,-97.28058,0,73.48552147,0,0,0,0,92,2152,0.042750929,Northeast,NJ,VALLEY HOSPITAL,0,2,3,3,#N/A,0
9032200720,2014,9.03E+13,8041,158516,5.072674052,2,1786.655,29.858525,-95.38178,0,50.80433544,1,34467,94,53,1295,4614,0.280667534,South,TX,UNICARE MRI AND DIAGNOSTIC CENTER LLC,0,2,2,#N/A,2,0
8123007390,2014,8.12E+13,16923,232622,7.274892315,2,2111.63,40.02847,-79.1105,0,56.95867622,0.593,16440,52,57,1613,6839,0.235853195,Northeast,PA,"TRI COUNTY IMAGING ASSOC., LTD",1,2,2,1,#N/A,0
648177725,2014,6.48E+12,763,42818,1.781960858,2,22074.405,40.537509,-81.48791,0,51.23362069,0.77,18192,43,89,825,1074,0.768156425,Midwest,OH,THE UNION HOSPITAL ASSOCIATION,0,2,2,#N/A,#N/A,0
8527957448,2014,8.53E+13,34996,852496,4.105121901,2,5534.555,37.773923,-84.85812,0,63.54710965,0.451,19113,59,63,4753,16138,0.294522246,South,KY,THE JAMES B. HAGGIN MEMORIAL HOSPITAL INC,0,2,1,#N/A,1,0
6709950058,2014,6.71E+13,1865,143377,1.300766511,2,475.62,40.681531,-75.26722,0,54.53818987,0.989,26424,4,72,418,1177,0.355140187,Northeast,PA,"STAR OPEN MRI, INC",0,2,2,#N/A,#N/A,0
2961493614,2014,2.96E+13,5326,81399,6.543077925,2,594.615,40.279375,-85.83761,0,52.84317925,0.808,11439,63,46,282,2486,0.113435237,Midwest,IN,"ST. VINCENT MADISON COUNTY HEALTH SYSTEM, INC.",0,2,2,#N/A,#N/A,0
4183511553,2014,4.18E+13,21016,180750,11.62710927,2,23034.225,40.372669,-80.0712,0,53.73894872,1,13471,7,96,1411,3779,0.373379201,Northeast,PA,ST CLAIR MEDICAL SERVICES INC,0,2,4,1,2,1
3476521071,2014,3.48E+13,2730,359744,0.758872976,2,481.87,42.205289,-83.19812,0,61.79714394,1,29518,51,81,187,1869,0.100053505,Midwest,MI,"SOUTHGATE X-RAY NUCLEAR MEDICINE & ULTRASOUND, PC",0,2,2,#N/A,#N/A,0
2264495761,2014,2.26E+13,38429,667778,5.75475682,2,6678.925,35.091332,-84.09018,0,57.70380581,0,18542,44,91,5581,19502,0.286175777,South,GA,SOUTHERN SMOKIES RADIOLOGY,1,2,2,2,#N/A,0
2365531530,2014,2.37E+13,20356,815324,2.496676168,2,1127.49,29.773018,-95.60125,0,53.91953205,1,33013,23,23,1171,3214,0.364343497,South,TX,"SELECT RADIOLOGY ASSOCIATES, P.L.L.C.",1,2,2,#N/A,#N/A,0
2860544889,2014,2.86E+13,10442,346068,3.017326075,2,3038.265,42.968707,-78.8745,0,40.19954661,1,22763,34,68,194,3152,0.061548223,Northeast,NY,SADASHIV S SHENOY MD PLLC,0,2,2,1,1,1
4981880150,2014,4.98E+13,6815,121564,5.60610049,2,1283.825,44.789953,-108.86789,0,53.94016774,0.544,11981,27,92,987,4121,0.239504975,West,AK,RADIOLOGY INTERPRETATION SERVICES INC,1,2,1,#N/A,#N/A,0
1850286410,2014,1.85E+13,45532,702070,6.485393194,2,5663.69,36.300311,-88.32891,0,62.49195078,0.528,19802,62,66,4724,17121,0.275918463,South,TN,RADIOLOGY IMAGING AND ASSOCIATES INC,1,2,2,1,2,1
3779754544,2014,3.78E+13,16752,277405,6.038824102,2,2224.545,29.252882,-99.8165,0,49.42303089,0.825,21555,75,80,1774,8021,0.22116943,South,TX,RADIOLOGY ASSOCIATES OF UVALDE,1,2,2,2,#N/A,0
143127704,2014,1.43E+12,6481,238885,2.71302091,2,824.09,37.673513,-120.95566,0,64.5624625,1,59210,59,63,519,2841,0.182682154,West,CA,"PROGRESSIVE IMAGING MEDICAL ASSOCIATES, INC.",1,2,2,#N/A,#N/A,0
840487609,2014,8.40E+12,26314,720553,3.651917347,2,14622.275,25.814225,-80.13085,0,56.24521039,1,23381,51,96,754,10579,0.071273277,South,FL,PALM ACCESS LLC,0,2,3,#N/A,3,0
648184861,2014,6.48E+12,20584,752472,2.735517069,2,58208.61,32.043058,-81.12183,0,64.79367624,0.958,36100,77,76,4332,34881,0.124193687,South,GA,ORTHOPEDIC CENTER PC,0,2,4,#N/A,#N/A,0
2365438090,2014,2.37E+13,20013,460942,4.341761002,2,2635.615,43.079635,-75.64678,0,56.43985135,0.756,13978,59,48,1993,7983,0.249655518,Northeast,NY,"ONEIDA HEALTHCARE RADIOLOGY ASSOCIATES, PC",1,2,2,#N/A,#N/A,0
1850392945,2014,1.85E+13,221,49433,0.447069771,2,226.81,35.075777,-106.19155,0,51.49992857,0.268,11878,15,5,289,333,0.867867868,Northeast,NJ,NORTH DOVER OPEN MRI LLC,0,2,1,1,1,1
5294811261,2014,5.29E+13,15959,214059,7.455421169,2,2694.585,32.242816,-98.21058,0,55.04129749,0.621,28168,61,93,1869,9284,0.201314089,South,TX,NANETTE V EVANS MD PA,0,2,2,2,#N/A,0
5890692859,2014,5.89E+13,17258,716088,2.41003899,2,1608.64,38.271028,-77.5559,0,74.44472506,0.878,57023,27,18,939,5041,0.186272565,South,WV,MOUNTAINEER RADIOLOGISTS INC,1,2,1,1,#N/A,0
143403584,2014,1.43E+12,12049,252150,4.778504858,2,1277.815,43.164312,-75.511301,0,71.97886335,1,38,1,1,582,5191,0.112117126,Northeast,NY,MOHAWK GLEN IMAGING PC,1,2,1,#N/A,#N/A,0
9032255930,2014,9.03E+13,1734,112300,1.544078362,2,635.66,34.07041,-117.69938,0,54.43782796,1,37784,81,49,737,1262,0.583993661,West,CA,"MILLENNIUM MEDICAL IMAGING CENTER, A MEDICAL CORPORATION",1,2,2,1,1,1
1052599495,2014,1.05E+13,38495,1044847,3.684271477,2,3040.465,37.853003,-94.00271,0,59.0347252,0.441,7781,71,87,2203,11061,0.199168249,Midwest,MO,MID AMERICA MEDICAL CONSULTANTS,0,2,2,#N/A,#N/A,0
2668522400,2014,2.67E+13,31730,1000203,3.172356012,2,146019.62,41.678248,-83.53257,0,64.48935476,1,15906,94,9,907,4090,0.221760391,Midwest,OH,"MERCY HEALTH PHYSICIANS - NORTH, LLC.",0,2,1,2,#N/A,0
